system:index,AreaM2,B11,B12,B2,B3,B4,B8,class,FEATURETYP,.geo
00000000000000001644_0,26803.27762,1082.5,674.5,192.5,408,372,2175,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.12728081016508,-37.588341180705754]}"
00000000000000001645_0,23526.21898,63.5,42.5,137,229.5,247,31,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1138959124317,-37.55384587379557]}"
00000000000000001646_0,11780.94285,499.5,296,129,319,257,519.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1117399557498,-37.56363751039247]}"
00000000000000001647_0,6187.163956,614.5,319.5,78.5,229,278.5,256.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.17803562371785,-37.54917463431814]}"
00000000000000001648_0,7894.527873,829,498.5,612.5,1049.5,1415,1899,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.05056468490127,-37.524021806362796]}"
00000000000000001649_0,5405.693418,804,407.5,252,470.5,616,1765,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.05505626132188,-37.530669339465284]}"
0000000000000000164a_0,5959.066107,1129.5,623,322,587.5,607.5,2646,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.11973496177848,-37.52195568120932]}"
0000000000000000164b_0,5865.096377,1104,566,329.5,737.5,676,3139,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.12386721208543,-37.512343707669245]}"
0000000000000000164c_0,10808.28278,526,349,1,10,1,104.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.10140932998243,-37.627507727093366]}"
0000000000000000164d_0,7113.338948,998.5,498.5,365,677.5,876,1070,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30757268768787,-37.55941542855711]}"
0000000000000000164e_0,6091.698576,1834.5,1063.5,339,709,953.5,1817,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.19699007621276,-37.6081939484848]}"
0000000000000000164f_0,19698.33239,1823.5,1693.5,330.5,431.5,506,1805,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1280892939208,-37.618704237309]}"
00000000000000001650_0,6320.135654,705,345.5,100.5,267,276,2003,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31799314498366,-37.604870181933556]}"
00000000000000001651_0,59284.67703,951.5,507,134,263,280.5,1647,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2499906779758,-37.573608810046196]}"
00000000000000001652_0,6002.138027,327,172.5,140,332,448,799.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.28574362628376,-37.56633245624483]}"
00000000000000001653_0,5422.609102,1031,548.5,266,533.5,624,1120,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1422826754099,-37.56848841292671]}"
00000000000000001654_0,7468.120963,1046.5,495.5,181.5,384,481.5,947,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1439894744497,-37.56732060305736]}"
00000000000000001655_0,7902.733019,694.5,360,96.5,206.5,233.5,469.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1213519292899,-37.63649087993456]}"
00000000000000001656_0,5064.57997,124.5,34.5,689,1235,1532,1086.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2310362254809,-37.54117962828948]}"
00000000000000001657_0,6760.229071,365,195,132,269,295,411.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21208177298598,-37.552857726983035]}"
00000000000000001658_0,5285.446813,167.5,82,101.5,215,126,211,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.24882286810646,-37.488987510282136]}"
00000000000000001659_0,6677.442341,552,256,18,136,156,981,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.26499254322061,-37.52743540444245]}"
0000000000000000165a_0,10410.11354,416,208.5,36,78,33,798.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.25529073815213,-37.487550205827546]}"
0000000000000000165b_0,6229.554107,506,234,403,680.5,952,919,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.262028102783,-37.539472829249654]}"
0000000000000000165c_0,5082.120833,637,321,92,227.5,205.5,1525,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.26607052156155,-37.54073047064742]}"
0000000000000000165d_0,8593.722317,515.5,294.5,277,486.5,537.5,944.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.284485984886,-37.47578227560558]}"
0000000000000000165e_0,5208.832094,695.5,473.5,174.5,404,403.5,215.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.23660578024243,-37.558067955630925]}"
0000000000000000165f_0,5803.648421,635.5,326.5,220.5,341,186.5,827.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.32176606917696,-37.500126619805215]}"
00000000000000001660_0,9483.952334,853,440,273,525.5,700,1928,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38707359033245,-37.65553516395789]}"
00000000000000001661_0,6626.349493,726.5,369.5,95,219.5,228.5,403,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38392948683804,-37.71778841314738]}"
00000000000000001662_0,35154.95347,127.5,70,247.5,531.5,383,110.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.37997689958792,-37.69299491130568]}"
00000000000000001663_0,40437.36954,132.5,89.5,263.5,448,262.5,101,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.37952774194585,-37.68203546483942]}"
00000000000000001664_0,7876.374802,189,103.5,22.5,1,1,228,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4054890536569,-37.77114834102408]}"
00000000000000001665_0,8098.586151,695,309.5,25.5,70,77.5,1747,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40486023295801,-37.75012776337568]}"
00000000000000001666_0,10026.61792,1299.5,640.5,179.5,425.5,353.5,3025,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39381095496336,-37.73252078380694]}"
00000000000000001667_0,7211.815683,432.5,234,172.5,274,328,540,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40971113549227,-37.785790880155226]}"
00000000000000001668_0,5047.069638,589.5,302.5,156.5,268,315.5,1547,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38635493810517,-37.63433492325267]}"
00000000000000001669_0,14538.4259,2017,1256.5,610,1059,1478,2688,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41384338579923,-37.69865429759563]}"
0000000000000000166a_0,8132.764703,625,336,259,500,613.5,622,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41492136414016,-37.69694749855581]}"
0000000000000000166b_0,11516.95375,142.5,110,316.5,615,671.5,170.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3928228081508,-37.6983848030104]}"
0000000000000000166c_0,19405.92654,257,160,216.5,402.5,177.5,144,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38698375880404,-37.69748648772628]}"
0000000000000000166d_0,20254.30215,484,216,232,428,407.5,101,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41851462527663,-37.69551019410122]}"
0000000000000000166e_0,7024.620356,172,103,477,917,1217,713.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.397224553043,-37.69083895462379]}"
0000000000000000166f_0,12484.06447,112,77.5,104.5,446.5,179,321,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38994819924164,-37.689221987112376]}"
00000000000000001670_0,8318.745283,231.5,116.5,9.5,1,22,89.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42237738099834,-37.736653034113885]}"
00000000000000001671_0,5238.655457,301.5,172,71.5,141.5,173,234.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42794693575988,-37.735485224244535]}"
00000000000000001672_0,9549.880132,642.5,333.5,179.5,344.5,370.5,335,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4115077660605,-37.73494623507406]}"
00000000000000001673_0,7375.705636,514,331.5,68,268.5,338.5,140,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4016262979352,-37.636760374519795]}"
00000000000000001674_0,15063.21219,642,321,143.5,370.5,234.5,2158,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39902118361124,-37.63478408089473]}"
00000000000000001675_0,11232.06204,454.5,219.5,275,621.5,419,396,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40378225461708,-37.68697619890208]}"
00000000000000001676_0,6203.432709,698.5,327,417.5,779,920,484,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39973983583855,-37.65894876203755]}"
00000000000000001677_0,6005.522147,336,188.5,42.5,89.5,113,206.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40189579252043,-37.66191320247514]}"
00000000000000001678_0,23410.91586,1042,605,359.5,678.5,552.5,1419,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4122264182878,-37.68347276929401]}"
00000000000000001679_0,9137.293676,780,385,326,571,485.5,1612,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41402304885605,-37.68652704126002]}"
0000000000000000167a_0,6235.115575,1325,650,345.5,604,716.5,1896,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4158196794243,-37.68482024222019]}"
0000000000000000167b_0,7030.262465,691,387,260,501.5,448.5,804.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43594194178854,-37.76441097639318]}"
0000000000000000167c_0,6505.14102,122,91,178,359.5,274.5,172,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40521955907167,-37.603432877478966]}"
0000000000000000167d_0,7187.103387,182.5,114.5,999,1814,1865,708.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41042978771955,-37.64610285347464]}"
0000000000000000167e_0,5381.427667,820.5,485,387,811.5,1146,1064,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43369615357827,-37.80501482723538]}"
0000000000000000167f_0,11135.92878,137.5,76,354,695,471.5,125,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4369300886011,-37.7961215059226]}"
00000000000000001680_0,5101.489738,170.5,75.5,177.5,382.5,339.5,222,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.44276913794786,-37.78345526041652]}"
00000000000000001681_0,13856.67758,97,53,86.5,188.5,210,130.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.430372387027,-37.701888232618465]}"
00000000000000001682_0,13949.9177,103.5,51.5,13,82,95.5,130,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43755890929998,-37.61403299783157]}"
00000000000000001683_0,10114.79211,98,69,66,166.5,165.5,140.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43001306091335,-37.622926319144355]}"
00000000000000001684_0,6732.033837,265,151.5,66,156,145.5,159.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.44321829558993,-37.74015646372195]}"
00000000000000001685_0,32445.60973,133,72.5,58,97,163.5,423,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.44717088284006,-37.74186326276178]}"
00000000000000001686_0,10322.1839,205,78.5,114.5,216,252,150.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4522014484311,-37.743839556386845]}"
00000000000000001687_0,6208.814561,134,78,42,131,77.5,65.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45570487803917,-37.754529508267865]}"
00000000000000001688_0,9792.020937,347.5,190.5,98.5,235.5,180,662.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4573218455506,-37.75363119298375]}"
00000000000000001689_0,18039.34332,492.5,255.5,54.5,126.5,77,151,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4439369478172,-37.72147150581227]}"
0000000000000000168a_0,7335.499142,141,78,32,132.5,143,75.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45085397550494,-37.718057907732614]}"
0000000000000000168b_0,17178.70754,511.5,318.5,122,207.5,213,233,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45175229078905,-37.715452793408666]}"
0000000000000000168c_0,5714.339715,644.5,414.5,72.5,170.5,284.5,217,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45265060607318,-37.72299864179527]}"
0000000000000000168d_0,10563.79031,86,60,342.5,628,432,109,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4581303293063,-37.68140664414054]}"
0000000000000000168e_0,6331.823529,552,342.5,376.5,681.5,641.5,222,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.46019645445978,-37.693264405890915]}"
0000000000000000168f_0,7408.332665,1497.5,856,352,655,815,2679,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.46091510668708,-37.689671144754435]}"
00000000000000001690_0,13618.64529,434.5,226.5,160,291.5,353.5,868.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48696624992655,-37.796750326621485]}"
00000000000000001691_0,7599.985868,214.5,91.5,14.5,54.5,26,675,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.481396695165,-37.78570104862681]}"
00000000000000001692_0,5052.258998,176.5,84,31.5,89,140,376,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48076787446612,-37.78156879831987]}"
00000000000000001693_0,5047.718038,224,121,46.5,153.5,238,144.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4438471162888,-37.607924453899564]}"
00000000000000001694_0,5900.600475,213.5,133.5,192,432,592,279.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45570487803917,-37.73252078380694]}"
00000000000000001695_0,12069.67211,448,246.5,451.5,720,821,382.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4144722064981,-37.62382463442847]}"
00000000000000001696_0,11436.97452,150,67,244,514.5,739,270.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41707732082205,-37.725424093062394]}"
00000000000000001697_0,5922.916324,617.5,303.5,106.5,301,230,2006,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42147906571424,-37.72443594624986]}"
00000000000000001698_0,10191.53611,579.5,299,67.5,272,184,217.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41438237496968,-37.72380712555098]}"
00000000000000001699_0,11647.27303,951,436.5,50.5,146,228.5,1105,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43675042554426,-37.747881975165384]}"
0000000000000000169a_0,7773.865583,246,150.5,47.5,131.5,167,91.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4317198599532,-37.74940911114839]}"
0000000000000000169b_0,56457.60828,100.5,43.5,35,9.5,37.5,95.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42677912589053,-37.75470917132469]}"
0000000000000000169c_0,12742.7458,120.5,66.5,153,267,290.5,150.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41662816317998,-37.746444670710794]}"
0000000000000000169d_0,6369.633638,547,240,191.5,405,423.5,838.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4167179947084,-37.745726018483495]}"
0000000000000000169e_0,21634.6776,116,77.5,169,328,327.5,134.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43432497427713,-37.65005544072476]}"
0000000000000000169f_0,11433.70126,131.5,65,132.5,291.5,231.5,146,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47133556398288,-37.70602048292541]}"
000000000000000016a0_0,8159.87,353.5,191,75.5,146,181.5,741,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47367118372156,-37.68769485112937]}"
000000000000000016a1_0,5497.436414,962,525,253,422,671.5,1374,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.364076719059,-37.63262812421285]}"
000000000000000016a2_0,9878.329738,909.5,442,147,405.5,332.5,708,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.419682435146,-37.610799062808745]}"
000000000000000016a3_0,15969.01399,290.5,187.5,113,184,338.5,746.5,1,Farm Dam Area,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41950277208917,-37.60334304595055]}"
