system:index,B2,B3,B4,B8,class,.geo
00000000000000000003_2569_0,355,507,482,1649,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.07239374630538,-37.782646776660805]}"
4_3166_0,527.5,729.5,849,2264.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79194886316697,-37.980545633752335]}"
7_1991_0,882,1090,1310,1670,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.78385030276434,-37.29638871336691]}"
1_2690_0,412,652,828,2428,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.26435914823986,-36.74931470533812]}"
8_3199_0,521,943,771,2770,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89299560978486,-37.42071554868905]}"
00000000000000000007_1255_0,2238,2722,2938,3284,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5478766004717,-38.18518185547477]}"
6_3359_0,1432,1648,1582,2786,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6793899580668,-38.564270905373206]}"
2_1801_0,836,971,1214,2238,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55173935619342,-38.183205561849704]}"
7_3252_0,455.5,645,864.5,2012,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.72438183095562,-37.03938071058032]}"
4_139_0,1152,1426,1448,2784,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83487461090232,-37.52483029011851]}"
00000000000000000003_3508_0,1118,1452,1608,1850,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.44528899502524,-38.23701464736846]}"
6_26_0,708,1040,2130,2618,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6740898978905,-38.56579804135621]}"
00000000000000000008_2283_0,1962,2184,2263,2330,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.94132954635234,-37.68886266099873]}"
8_195_0,622,1009,1180,2540,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30011209654782,-36.753177461059835]}"
6_2219_0,946.5,1177,1396,2014,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.80639801639575,-37.04881302106357]}"
8_3603_0,949,1110,1174,1918,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89560072410882,-37.42350032606982]}"
00000000000000000006_707_0,498,807.5,749.5,2283,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.05173249477065,-37.66433865374227]}"
14_2911_0,692,1240,1288,2304,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.30613080895142,-36.76593353809433]}"
