system:index,B2,B3,B4,B8,class,.geo
2_7_0,926,1166,1676,2558,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55200885077866,-38.17880381695752]}"
2_8_0,475,779,678,2764,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5464392960171,-38.18634966534412]}"
2_9_0,760,1108,1092,2874,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54976306256836,-38.1816784258667]}"
2_10_0,1036,1170,1400,2100,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54958339951153,-38.18527168700318]}"
2_11_0,769,1210,1404,3174,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55506312274466,-38.18311573032129]}"
2_12_0,907,1024,1292,1824,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55434447051735,-38.18590050770206]}"
2_13_0,749,1000,1412,2352,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55425463898894,-38.17925297459958]}"
2_14_0,622,744,957,1960,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5622496450176,-38.18194792045193]}"
2_15_0,749,982,998,1538,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54356468710793,-38.18670899145777]}"
2_16_0,936,1048,1236,1956,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55730891095496,-38.1816784258667]}"
2_17_0,867,1086,1528,2352,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55443430204576,-38.17817499625863]}"
2_18_0,756,893,1062,1686,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.56386661252904,-38.18365471949176]}"
2_19_0,886,1274,1536,2850,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5575784055402,-38.18302589879288]}"
3_0_0,2783.5,2720.5,2687,3063,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08228436299441,-37.96401663252454]}"
3_1_0,2138,2133,2095.5,3527,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08255385757963,-37.961231855143765]}"
3_2_0,1629.5,1719.5,1787,2403,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0838114989774,-37.96248949654154]}"
3_3_0,2761,2754,2677,3270.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0807572270114,-37.964825116280245]}"
3_4_0,2534,2584,2725,3598,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08408099356265,-37.96204033889948]}"
3_5_0,1599.5,1739,1994,2783.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08623695024454,-37.96239966501312]}"
3_6_0,2548,2559,2499,3312,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08237419452283,-37.96266915959836]}"
3_7_0,2180,2151.5,2119,3125,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08228436299441,-37.96159118125742]}"
3_8_0,2616.5,2526,2539,3521,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0815657107671,-37.964375958638186]}"
3_9_0,2723,2731,2817,3483,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08192503688076,-37.96266915959836]}"
3_10_0,2720,2712,2724,3375,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08228436299441,-37.96392680099613]}"
3_11_0,2071,2287,2445,3154,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08363183592058,-37.962938654183596]}"
3_12_0,2107,2220,2422,3096,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.083721667449,-37.96392680099613]}"
3_13_0,2337,2420,2621,3205,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0830030152217,-37.96159118125742]}"
3_14_0,1494,1532,1626,2487.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08551829801723,-37.9622200019563]}"
3_15_0,2641,2713,2802,3655,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0807572270114,-37.964645453223426]}"
3_16_0,1921,1987.5,2040,2795,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08408099356265,-37.96230983348471]}"
3_17_0,2742,2726,2707,3257.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08291318369328,-37.961231855143765]}"
3_18_0,1656,1786.5,1963,2625,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08614711871613,-37.96275899112677]}"
3_19_0,1341,1513,1727,2410,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0843504881479,-37.96275899112677]}"
4_0_0,1152,1726,1818,4465.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7914997055249,-37.98117445445122]}"
4_1_0,3757.5,3650,3565.5,4639.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.77955211224614,-37.98063546528075]}"
4_2_0,1333,1736,2114,3440,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78575048770654,-37.979377823882984]}"
4_3_0,911,1279,1649,2659.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79455397749092,-37.98288125349105]}"
4_4_0,1674,1935,2077,2646.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78368436255306,-37.97901849776934]}"
4_5_0,916,1159,1326,2618,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78655897146226,-37.97668287803062]}"
4_6_0,1679.5,1757.5,1852,2899,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7855708246497,-37.98090495986599]}"
4_7_0,3164,3312,3309.5,4338,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78063009058707,-37.9809947913944]}"
4_8_0,977.5,1549,1402,4496,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79302684150792,-37.98207276973534]}"
4_9_0,1186.5,1353.5,1549,2323,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7853911615929,-37.98144394903646]}"
4_10_0,1313,1781,1839,4440,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79114037941127,-37.98117445445122]}"
4_11_0,1198,1605,1985,3402,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7874572867464,-37.97964731846822]}"
4_12_0,955.5,1165,1350,1969,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79203869469538,-37.979557486939804]}"
4_13_0,3024,3148.5,3277.5,4906.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78134874281437,-37.98018630763869]}"
4_14_0,1313,1465,1560,2627,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7853911615929,-37.977491361786335]}"
4_15_0,913.5,1208,1547,2645,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7937454937352,-37.98288125349105]}"
4_16_0,1253.5,1560,1839,3107,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78503183547926,-37.97901849776934]}"
4_17_0,4103.5,3989.5,3932,4769.5,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.77964194377452,-37.9802761391671]}"
4_18_0,602,771.5,1283,2301,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78799627591684,-37.976772709559036]}"
4_19_0,1220,1535,1664,2806,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78727762368956,-37.97883883471251]}"
