WKT,CURRENCY,PLAN_ACCUR,FEATSOURCE,BASIN,SDL_ID,FEAT_TYPE,VOL_ML_EST,SURFAREAM2,VIC_DAM_ID,ORIG_OBJID,FARMDAM_YN,RUNOFF_DAM,y,x,PerimM2,AreaM2
"MULTIPOLYGON (((144.3475905 -36.8288785,144.347568 -36.8288535,144.347553 -36.8288255,144.347548 -36.828768001,144.347583 -36.8286345,144.347600499 -36.8286045,144.347636 -36.828586999,144.3476835 -36.828592,144.347847 -36.828645,144.347867 -36.8286625,144.347872 -36.82869,144.347779 -36.8289035,144.3477665 -36.828923501,144.347739001 -36.828931,144.347706 -36.828936,144.3475905 -36.8288785)))",2005,+/- 5m,Satellite imagery,Campaspe,4060304,Rural Storage,0.71209162,798.60644792,AllVicPoly069935,71462,Y,Y,-36.828936,144.347548,106.753,797.4943392885392
"MULTIPOLYGON (((145.444367992 -37.73922614,145.444356244 -37.739189042,145.444370851 -37.739175026,145.444397682 -37.7391753799999,145.444451374 -37.739174668,145.444490696 -37.739176608,145.444547908 -37.739178783,145.44458726 -37.739179303,145.444617401 -37.739192489,145.444633172 -37.739208327,145.444634574 -37.739226818,145.444608819 -37.739260579,145.444570899 -37.73927713,145.444506384 -37.7392819619999,145.444438562 -37.739273962,145.444390622 -37.739256278,145.444367992 -37.73922614)))",Dec2009,+/- 5m,Aerial Imagery,Yarra,2290020,Rural Storage,0.14199803,235.70002488,AllVicPoly365222,371471,Y,Y,-37.739282,145.4443562,61.188,234.99949517774087
"MULTIPOLYGON (((141.024002926 -36.85080793,141.023882181 -36.851462972,141.02386105 -36.851499195,141.023820299 -36.851502214,141.023797659 -36.851496176,141.023756908 -36.85144486,141.02383992 -36.850789818,141.023867088 -36.850755104,141.023898783 -36.850740011,141.023930478 -36.850735483,141.023968212 -36.850746048,141.023992361 -36.85076416,141.024002926 -36.85080793)))",feb2010,+/- 5m,Aerial Imagery,Millicent Coast,439,Rural Storage,1.04702472,1069.15866438,AllVicPoly214985,218971,Y,Y,-36.8515022,141.0237569,185.694,1070.0122740700149
"MULTIPOLYGON (((145.278384183 -37.490189333,145.278369462 -37.490244975,145.27835429 -37.490278422,145.278338615 -37.490291967,145.278314528 -37.490295441,145.278289763 -37.4902866629999,145.278271021 -37.490266495,145.278258371 -37.490231879,145.278259056 -37.490202047,145.278265307 -37.490180713,145.278279168 -37.490162551,145.278304461 -37.490148381,145.278335355 -37.490141181,145.278355479 -37.490143004,145.278369773 -37.490147803,145.278385688 -37.490165635,145.278384465 -37.490177094,145.278384183 -37.490189333)))",Dec2009,+/- 5m,Aerial Imagery,Yarra,2290032,Rural Storage,0.07623228,147.19969104,AllVicPoly371896,378257,Y,Y,-37.4902954,145.2782584,45.562,146.7987470453001
"MULTIPOLYGON (((145.966221495 -38.78930802,145.966094813 -38.7893989,145.966078289 -38.789401654,145.966067273 -38.789393392,145.965980983 -38.78930251,145.965977312 -38.789288742,145.965979149 -38.789274054,145.966095732 -38.78919419,145.966113173 -38.789192353,145.966132452 -38.789200615,145.966218741 -38.789281397,145.966222414 -38.78929425,145.966221495 -38.78930802)))",Jan2010,+/- 5m,Aerial Imagery,South Gippsland,2270215,Rural Storage,0.1898748,293.67047463,AllVicPoly288001,293521,Y,Y,-38.7894017,145.9659773,65.075,292.5634915575848
"MULTIPOLYGON (((145.222656933 -38.267115111,145.222818705 -38.267088271,145.222855701 -38.267087546,145.222894149 -38.267106407,145.222913009 -38.26712817,145.222920264 -38.267168068,145.222916637 -38.267186204,145.222899226 -38.267205065,145.222791138 -38.267244963,145.222691029 -38.267257295,145.222639524 -38.267255844,145.222594548 -38.267235532,145.222560453 -38.267205065,145.222551747 -38.267183302,145.22254957 -38.267157913,145.222553199 -38.267110034,145.222559727 -38.2670948,145.222574962 -38.267088997,145.222598899 -38.267091898,145.222638799 -38.267110034,145.222647504 -38.267115112,145.222656933 -38.267115111)))",Jan2009,+/- 5m,Aerial Imagery,Bunyip,2280518,Rural Storage,0.36858572,485.15588763,AllVicPoly048676,49643,Y,Y,-38.2672573,145.2225496,88.434,483.9154881364517
"MULTIPOLYGON (((146.905386 -36.1742045,146.905213 -36.174239499,146.9048965 -36.1740055,146.904695 -36.173778,146.9047385 -36.173655,146.9048825 -36.173561999,146.905271499 -36.1734805,146.905502 -36.1735625,146.9056605 -36.1737495,146.905689 -36.173901,146.905588 -36.174053,146.905386 -36.1742045)))",2005,+/- 5m,Satellite imagery,Kiewa,4020502,Rural Storage,8.16592915,5060.24689922,AllVicPoly155416,157799,Y,Y,-36.1742395,146.904695,261.304,5029.220891513032
"MULTIPOLYGON (((142.228579999 -36.4501465009999,142.2285735 -36.450166501,142.228549 -36.450174,142.228242001 -36.4501665,142.228210499 -36.4501504999999,142.2282035 -36.450116,142.228195 -36.4500255,142.228213 -36.4500035,142.2282505 -36.4499925,142.228553 -36.450004,142.228573501 -36.4500125,142.228587 -36.4500325,142.228579999 -36.4501465009999)))",2005,+/- 5m,Satellite imagery,Wimmera-Avon,415,Rural Storage,0.53271273,641.12068959,AllVicPoly352943,358997,Y,N,-36.450174,142.228195,100.376,641.4412893018548
"MULTIPOLYGON (((145.634845501 -35.928969001,145.6347445 -35.9290205,145.634580499 -35.9290185,145.6343985 -35.929016501,145.6343065 -35.928915,145.6344305 -35.9288595,145.634594999 -35.9288515,145.634758999 -35.928868001,145.634845501 -35.928969001)))",2005,+/- 5m,Satellite imagery,Broken,404,Rural Irrigation Storage,0.60786131,708.45916322,AllVicPoly035890,36590,Y,N,-35.9290205,145.6343065,112.192,705.9741091981033
"MULTIPOLYGON (((143.715924665 -37.886950476,143.715802874 -37.886952558,143.715758112 -37.886952558,143.715725843 -37.886926534,143.715708146 -37.886889059,143.715714392 -37.88679225,143.715726884 -37.886766226,143.715759153 -37.886745407,143.715814324 -37.886741243,143.715888232 -37.886741243,143.715931953 -37.886746448,143.71597255 -37.886758939,143.715995451 -37.886779759,143.716007943 -37.886804742,143.71601523 -37.886841175,143.716022516 -37.886880732,143.716020434 -37.886901551,143.71601523 -37.886919247,143.715995451 -37.886936943,143.715971509 -37.88694423,143.715924665 -37.886950476)))",14Mar2010,+/- 5m,Aerial Imagery,Lake Corangamite,2340307,Rural Storage,0.45998366,573.70857747,AllVicPoly158166,160567,Y,Y,-37.8869526,143.7157081,87.725,573.3620010992521
