system:index,B2,B3,B4,B8,class,.geo
2_3_0,577.0,841.0,1206.0,2242.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.323917451577,-36.75156049354842]}"
2_4_0,1060.0,1428.0,1584.0,2022.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32194115795193,-36.752997798003015]}"
2_5_0,614.0,764.0,952.0,1582.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32122250572465,-36.75254864036095]}"
2_6_0,567.0,840.0,1140.0,2374.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32265981017923,-36.75281813494619]}"
2_7_0,957.0,1262.0,1504.0,1736.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3224801471224,-36.75353678717348]}"
2_8_0,498.0,697.0,967.0,1866.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32346829393495,-36.75182998813366]}"
2_9_0,409.0,606.0,777.0,1942.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32283947323606,-36.75281813494619]}"
2_10_0,750.0,937.0,1286.0,2120.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3231089678213,-36.752009651190484]}"
2_11_0,574.0,807.0,1086.0,2138.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32230048406558,-36.75245880883254]}"
2_12_0,551.0,811.0,1056.0,2332.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32256997865082,-36.75182998813366]}"
2_13_0,1404.0,1774.0,2126.0,2496.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32221065253717,-36.75335712411666]}"
2_14_0,1296.0,1560.0,1796.0,2074.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3214920003099,-36.752728303417776]}"
2_15_0,651.0,888.0,1196.0,2146.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32382762004858,-36.751740156605244]}"
2_16_0,584.0,829.0,1036.0,1644.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32203098948034,-36.75281813494619]}"
2_17_0,1162.0,1620.0,1918.0,2752.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32212082100875,-36.753626618701894]}"
2_18_0,321.0,561.0,705.0,2100.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32140216878147,-36.75236897730413]}"
2_19_0,437.0,701.0,910.0,2524.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.32203098948034,-36.75245880883254]}"
3_0_0,777.0,1122.0,1442.0,2468.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31610210860515,-36.75470459704284]}"
3_1_0,1288.0,1462.0,1738.0,2174.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3180784022302,-36.75335712411666]}"
3_2_0,1096.0,1382.0,1372.0,2308.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3178987391734,-36.75434527092919]}"
3_3_0,486.0,806.0,1036.0,2792.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3154732879063,-36.75542324927014]}"
3_4_0,164.0,360.0,490.0,2030.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3148444672074,-36.7551537546849]}"
3_5_0,419.0,647.0,814.0,1764.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31771907611656,-36.75326729258825]}"
3_6_0,1788.0,2174.0,2210.0,2840.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31601227707674,-36.754165607872366]}"
3_7_0,728.0,1018.0,1384.0,2756.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3158326140199,-36.75380628175872]}"
3_8_0,770.0,1114.0,1532.0,2540.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31619194013356,-36.75524358621331]}"
3_9_0,1162.0,1488.0,1590.0,2600.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3158326140199,-36.75434527092919]}"
3_10_0,777.0,1122.0,1442.0,2468.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31610210860515,-36.75470459704284]}"
3_11_0,1030.0,1406.0,1586.0,1760.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31655126624722,-36.75407577634395]}"
3_12_0,1282.0,1574.0,1798.0,2292.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31673092930404,-36.75434527092919]}"
3_13_0,764.0,1144.0,1494.0,2372.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31610210860515,-36.75371645023031]}"
3_14_0,1015.0,1296.0,1454.0,2170.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3186173914007,-36.754435102457606]}"
3_15_0,614.0,937.0,1188.0,2778.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3154732879063,-36.755333417741724]}"
3_16_0,122.0,326.0,389.0,2532.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3148444672074,-36.75497409162808]}"
3_17_0,904.0,1104.0,1368.0,1730.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31610210860515,-36.75353678717348]}"
3_18_0,732.0,1064.0,1300.0,2890.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3186173914007,-36.754884260099665]}"
3_19_0,523.0,713.0,852.0,2312.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3179885707018,-36.754614765514425]}"
4_0_0,878.0,1416.0,1596.0,2732.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31691059236087,-36.75147066202001]}"
4_1_0,1240.0,1540.0,1626.0,2530.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3157427824915,-36.75165032507683]}"
4_2_0,1400.0,1784.0,1908.0,2304.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31619194013356,-36.750302852150654]}"
4_3_0,1114.0,1218.0,1342.0,2322.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31601227707674,-36.75165032507683]}"
4_4_0,1188.0,1682.0,1828.0,2230.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3157427824915,-36.75048251520748]}"
4_5_0,1007.0,1364.0,1604.0,2222.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3187072229291,-36.751290998963185]}"
4_6_0,770.0,985.0,1164.0,1516.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.3179885707018,-36.7506621782643]}"
4_7_0,1614.0,1996.0,2154.0,2226.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.31888688598593,-36.75003335756542]}"
