system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,482.0,670.0,913.0,1653.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.54274705478852,-37.91919069984697]}"
00000000000000000001_0,744.0,1046.0,1578.0,2342.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.52693670578802,-37.956919941779994]}"
00000000000000000002_0,643.0,990.0,1494.0,2182.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.50411949757137,-37.88307842542537]}"
00000000000000000003_0,553.5,809.5,1017.0,1851.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.70740824636763,-37.88963612699944]}"
00000000000000000004_0,1036.0,1234.0,1464.0,1694.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.59332220528444,-37.97542523663286]}"
00000000000000000005_0,735.0,1013.0,1446.0,2120.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.5050178128555,-37.788395994479174]}"
00000000000000000006_0,555.0,923.5,1246.0,2392.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.71495409475423,-37.919999183602684]}"
00000000000000000007_0,791.0,1068.0,1432.0,2264.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.60994103804066,-37.93706717400095]}"
00000000000000000008_0,659.0,881.0,1235.0,1945.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.54607082133975,-37.830347318247554]}"
00000000000000000009_0,781.0,1072.0,1520.0,2082.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.6088630596997,-37.95117072396163]}"
0000000000000000000a_0,700.0,968.0,1418.0,2324.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.61748688642726,-37.93688751094413]}"
0000000000000000000b_0,410.0,651.0,602.0,2164.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.67030782513348,-37.95781825706411]}"
0000000000000000000c_0,462.0,583.0,806.0,1502.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.52199597172535,-37.92745520046088]}"
