system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,356.0,512.0,589.0,1982.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.34063069014348,-38.33978191587173]}"
00000000000000000001_0,577.0,809.0,1206.0,1936.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30568622559122,-38.31588672931416]}"
00000000000000000002_0,166.0,311.0,261.0,1910.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48642726075607,-38.345351470633275]}"
00000000000000000003_0,187.0,338.0,278.0,1786.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3356001245524,-38.35280748749147]}"
00000000000000000004_0,191.0,354.0,289.0,1692.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41060945077638,-38.31992914809269]}"
00000000000000000005_0,195.0,313.0,304.0,1500.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33542046149557,-38.33960225281491]}"
00000000000000000006_0,241.0,334.0,449.0,1610.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21648351787815,-38.140535585854025]}"
00000000000000000007_0,701.0,993.0,1404.0,2488.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21324958285533,-38.21482625985071]}"
00000000000000000008_0,1226.0,1660.0,2070.0,2866.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.19007304852505,-38.380655261299175]}"
00000000000000000009_0,797.0,1010.0,1208.0,2644.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20759019656538,-38.20781940063458]}"
0000000000000000000a_0,673.0,973.0,1346.0,2566.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2318447092366,-38.176827523332456]}"
0000000000000000000b_0,187.0,366.0,288.0,1958.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47340168913635,-38.336997138490965]}"
0000000000000000000c_0,407.0,535.0,464.0,2258.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.28358766960187,-38.22551621173173]}"
0000000000000000000d_0,2368.0,2466.0,2314.0,2312.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.18656961891696,-38.28300838991538]}"
0000000000000000000e_0,1404.0,1960.0,2432.0,3168.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.37871925819013,-38.17386308289486]}"
0000000000000000000f_0,940.0,1498.0,911.0,233.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1903425431103,-38.13289990593901]}"
00000000000000000010_0,215.0,339.0,295.0,1866.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40791450492404,-38.332775056655606]}"
00000000000000000011_0,167.0,306.0,262.0,2036.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48013905376723,-38.33942258975809]}"
00000000000000000012_0,359.0,580.0,650.0,2662.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1905222061671,-38.34166837796839]}"
00000000000000000013_0,2050.0,2326.0,2026.0,2810.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.25744669483402,-38.206112601594754]}"
00000000000000000014_0,717.0,1004.0,1094.0,2132.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.16752533489364,-38.3387937690592]}"
00000000000000000015_0,564.0,1132.0,974.0,3418.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20426643001414,-38.36852800496356]}"
00000000000000000016_0,657.0,905.0,1198.0,1810.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.26723833143092,-38.189224274253306]}"
00000000000000000017_0,290.0,440.0,414.0,2434.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40827383103766,-38.344363323820744]}"
00000000000000000018_0,419.0,476.0,484.0,1484.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.29849970331827,-38.2357570059707]}"
00000000000000000019_0,163.0,302.0,262.0,1692.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31556769371653,-38.35711940085524]}"
0000000000000000001a_0,241.0,335.0,315.0,1378.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4468115567264,-38.321007126433635]}"
0000000000000000001b_0,206.0,474.0,354.0,3332.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2641840594649,-38.18931410578171]}"
0000000000000000001c_0,568.0,1138.0,1556.0,2734.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.18647978738858,-38.13828979764373]}"
0000000000000000001d_0,193.0,394.0,377.0,2044.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.27765878872668,-38.35514310723018]}"
0000000000000000001e_0,498.0,670.0,674.0,2480.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35689019678603,-38.364665249241845]}"
0000000000000000001f_0,185.0,358.0,319.0,1974.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.46244224267008,-38.33564966556479]}"
00000000000000000020_0,194.0,347.0,286.0,1744.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4107891138332,-38.33564966556479]}"
00000000000000000021_0,721.0,993.0,1182.0,1920.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.27262822313563,-38.38272138645265]}"
00000000000000000022_0,588.0,827.0,1310.0,2338.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.28349783807346,-38.217341542646246]}"
00000000000000000023_0,243.0,378.0,371.0,1556.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2973318934489,-38.35496344417336]}"
00000000000000000024_0,793.0,1158.0,1300.0,2352.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.17408303646772,-38.150776380092985]}"
00000000000000000025_0,706.0,987.0,1288.0,2944.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45283026913,-38.360353335878074]}"
00000000000000000026_0,938.0,1086.0,1088.0,1852.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3470087286607,-38.2102448519017]}"
00000000000000000027_0,949.0,1144.0,1418.0,1914.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.21405806661105,-38.28516434659727]}"
00000000000000000028_0,213.0,356.0,332.0,1428.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.32185590070537,-38.387123131344836]}"
00000000000000000029_0,793.0,1038.0,1484.0,2280.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35105114743925,-38.34732776425834]}"
0000000000000000002a_0,630.0,906.0,1310.0,2092.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2986793663751,-38.30825104939914]}"
0000000000000000002b_0,584.0,734.0,839.0,1172.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.2326531929923,-38.22371958116349]}"
0000000000000000002c_0,176.0,336.0,281.0,1836.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.28745042532358,-38.347507427315165]}"
0000000000000000002d_0,756.0,1020.0,1426.0,2250.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20058333734923,-38.276450688341306]}"
0000000000000000002e_0,482.0,770.0,875.0,3012.0,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.17138809061535,-38.32253426241664]}"
0000000000000000002f_0,186.0,325.0,311.0,1496.0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30496757336394,-38.347237932729925]}"
00000000000000000030_0,812.0,1096.0,1606.0,2552.0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39542792247477,-38.37266025527051]}"
00000000000000000031_0,225.0,434.0,440.0,2048.0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.27738929414147,-38.35622108557112]}"
00000000000000000032_0,566.0,796.0,1118.0,2288.0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20067316887764,-38.172246115383444]}"
00000000000000000033_0,477.0,759.0,1040.0,2236.0,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38401931836646,-38.3830807125663]}"
