system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,264.0,502.0,262.0,3130.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.46584669218603,-38.75130014752689]}"
00000000000000000001_0,171.0,255.5,195.5,2065.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.57247671641102,-38.63173438321058]}"
00000000000000000002_0,723.0,934.5,1245.0,2274.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.75456522450204,-38.43437451528952]}"
00000000000000000003_0,368.0,616.0,678.0,2607.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2625579433898,-38.342027704082035]}"
00000000000000000004_0,859.0,1170.0,1614.0,2614.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.64658315306903,-38.057621085129796]}"
00000000000000000005_0,1055.0,1326.0,1772.0,2815.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0293598699142,-38.001566211400736]}"
00000000000000000006_0,802.5,1017.5,1354.0,2429.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.84349843762988,-38.36349743937249]}"
00000000000000000007_0,940.0,1228.0,1562.0,2432.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.65439849604087,-38.10065038723912]}"
00000000000000000008_0,1127.0,1380.0,1756.0,2402.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.40601889426367,-37.94919443033657]}"
00000000000000000009_0,575.0,847.5,1186.0,2564.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2454899529915,-38.077833179022484]}"
0000000000000000000a_0,883.0,1122.0,1544.0,2323.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.76938285240817,-37.95072156631957]}"
0000000000000000000b_0,267.0,413.5,411.0,1639.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.18692437074878,-38.35514310723018]}"
0000000000000000000c_0,368.5,669.5,662.5,3144.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.69060517627273,-38.72542866734425]}"
0000000000000000000d_0,250.5,218.5,155.5,1840.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.94518772779222,-38.51657036378646]}"
0000000000000000000e_0,1000.0,1210.0,1594.0,2198.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.60939747458832,-38.02105965306613]}"
0000000000000000000f_0,1092.0,1402.0,1897.0,2707.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.03142142078582,-38.01719689734441]}"
00000000000000000010_0,139.0,247.0,151.0,2226.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.41787665601404,-38.66622969012077]}"
00000000000000000011_0,1052.0,1434.0,1952.0,2700.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.32813495913052,-37.774112781461675]}"
00000000000000000012_0,537.5,815.0,1035.0,2616.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.16850433314247,-38.65652788505228]}"
00000000000000000013_0,874.0,1167.0,1591.0,2328.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9113212415809,-38.01306464703747]}"
00000000000000000014_0,980.5,1304.0,1779.0,2657.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.02324675170036,-37.951260555490045]}"
00000000000000000015_0,191.5,318.0,284.5,1958.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.69437810046603,-38.42925411817004]}"
00000000000000000016_0,197.0,342.0,292.0,1671.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0856842382285,-38.39583678960079]}"
00000000000000000017_0,816.0,1034.0,1386.0,2114.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.44284982091258,-37.90230237250553]}"
00000000000000000018_0,951.0,1274.0,1854.0,2626.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.5746326730929,-37.838701650389865]}"
00000000000000000019_0,1028.0,1278.0,1648.0,2238.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.29247184235098,-38.082145092386256]}"
