system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,841,1230,1922,2574,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.05539729030812,-34.80041969644082]}"
00000000000000000001_0,1021,1408,1987,2797,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.1078589029007,-37.10208311741186]}"
00000000000000000002_0,108,208,213,1540,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.84225909335953,-36.614477581191785]}"
00000000000000000003_0,1000,1340,1804,2558,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.89776125507254,-36.61016566782801]}"
00000000000000000004_0,1242,1978,3002,3842,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.79732503202612,-36.29512649768729]}"
00000000000000000005_0,1036,1550,2356,3008,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.1899694941511,-34.89052071943801]}"
00000000000000000006_0,1171,1518,1960,2531,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.6898819497636,-36.60567409140741]}"
00000000000000000007_0,1151,1815,2839,3727,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.34869723057315,-35.05985315049454]}"
00000000000000000008_0,356,555.5,792,1768,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.4355643185475,-34.76134298158162]}"
00000000000000000009_0,963,1450,2276,2980,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.58773892767735,-35.19388179088517]}"
0000000000000000000a_0,232.5,382.5,462,2348,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.49568905674622,-37.29683787100897]}"
0000000000000000000b_0,583,864,1420,2078,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.06851269345626,-34.54799310160323]}"
0000000000000000000c_0,530,799.5,1073.5,2391,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.84986732758344,-37.42978853305866]}"
0000000000000000000d_0,175,295,333,2088,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.07830433005316,-37.95943522457553]}"
0000000000000000000e_0,1057,1370,1803,2418,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.66257316512636,-36.6672086883696]}"
0000000000000000000f_0,403,541,475.5,1187,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.95319188238457,-38.643412481904136]}"
