system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,871.0,1202.0,1504.0,2406.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83146101282267,-35.92196632866404]}"
00000000000000000001_0,894.0,1384.0,2100.0,2806.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.17901919624853,-36.20861873582658]}"
00000000000000000002_0,2552.0,3325.0,4232.0,4870.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.86263712746347,-36.11294815806785]}"
00000000000000000003_0,1195.0,1630.0,2200.0,2871.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.80118778774784,-36.13100429527866]}"
00000000000000000004_0,866.0,1332.0,2022.0,2652.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.57445301003608,-35.462208566251675]}"
00000000000000000005_0,739.0,1152.0,1570.0,2568.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.17039994380283,-36.28021446397091]}"
00000000000000000006_0,1278.0,1870.0,2578.0,3216.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.49477244433467,-35.85072992663336]}"
00000000000000000007_0,819.0,1078.0,1452.0,1970.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.83999500802182,-35.94208859102832]}"
00000000000000000008_0,933.0,1418.0,2164.0,2692.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.1497341179862,-36.05330002320232]}"
00000000000000000009_0,874.0,1280.0,1848.0,2478.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.6598873678377,-36.275453392965076]}"
0000000000000000000a_0,926.0,1484.0,2338.0,2942.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.14640577715312,-35.38243816902186]}"
0000000000000000000b_0,788.0,1368.0,2330.0,2898.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.47725529629435,-35.653370058712305]}"
0000000000000000000c_0,977.5,1296.0,1744.0,2425.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.52262021814238,-35.227568614039654]}"
0000000000000000000d_0,540.0,971.0,1674.0,2214.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20785969115062,-36.334023549489665]}"
0000000000000000000e_0,789.0,1144.0,1722.0,2420.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.68189151801678,-35.69469256178181]}"
0000000000000000000f_0,727.0,1134.0,1772.0,2336.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.31933146934614,-35.583301466550985]}"
00000000000000000010_0,1118.0,1388.0,1886.0,2712.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.91698062787086,-36.27599238213555]}"
00000000000000000011_0,287.5,506.0,820.0,1909.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2897768964986,-35.489337687832084]}"
00000000000000000012_0,754.0,1174.0,1937.0,2502.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.41715800378677,-35.26287240470555]}"
00000000000000000013_0,287.5,584.0,610.0,3200.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.5348373060064,-36.14968925318834]}"
00000000000000000014_0,398.0,653.0,836.0,1942.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.7098291233529,-36.09579033614117]}"
00000000000000000015_0,731.0,1096.0,1720.0,2372.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.7827723244234,-35.78470375325058]}"
00000000000000000016_0,1078.0,1564.0,2160.0,2884.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9698913981055,-36.07809352504402]}"
00000000000000000017_0,962.0,1260.0,1760.0,2426.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.98821702990153,-36.241047917583295]}"
00000000000000000018_0,621.0,1056.0,1606.0,2454.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.01750210816382,-35.899149120447404]}"
00000000000000000019_0,963.0,1388.0,1750.0,2900.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.53995770312588,-35.92286464394816]}"
0000000000000000001a_0,618.0,1028.0,1694.0,2662.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.54103568146684,-35.41989791636964]}"
0000000000000000001b_0,1028.0,1338.0,1722.0,2364.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.95848279399718,-35.66414984212174]}"
