system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,222.0,329.0,329.0,2292.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3251796672566,-37.873286788828466]}"
00000000000000000001_0,170.0,314.0,241.0,2514.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.34332563599582,-37.89601416551669]}"
00000000000000000002_0,1112.0,1526.0,1754.0,2210.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40306360238978,-37.8810123002719]}"
00000000000000000003_0,588.0,800.0,1034.0,1948.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.49163748940396,-37.87957499581731]}"
00000000000000000004_0,1001.0,1450.0,1424.0,2928.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42615030519164,-37.82190315457683]}"
00000000000000000005_0,738.0,1022.0,1380.0,2540.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4483386927094,-37.842744069168404]}"
00000000000000000006_0,1710.0,1900.0,1816.0,2050.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.46747280826116,-37.80573347946268]}"
00000000000000000007_0,235.0,354.0,337.0,2168.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.37126324133195,-37.90877024255119]}"
00000000000000000008_0,628.0,981.0,1254.0,2680.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3002065023581,-37.91011771547737]}"
00000000000000000009_0,133.0,243.0,161.0,1688.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39363129190653,-37.83861181886145]}"
0000000000000000000a_0,270.0,405.0,343.0,2526.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3400018694446,-37.82378961667348]}"
0000000000000000000b_0,147.0,318.0,207.0,2148.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33326450481368,-37.890444610755154]}"
0000000000000000000c_0,524.0,795.0,1108.0,2652.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3445832773936,-37.93787565775666]}"
0000000000000000000d_0,293.0,442.0,339.0,2686.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45480656275507,-37.82387944820189]}"
0000000000000000000e_0,814.0,1146.0,1634.0,2712.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.461993085028,-37.87301729424323]}"
0000000000000000000f_0,545.0,827.0,981.0,2178.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.41474170108333,-37.821274333877945]}"
00000000000000000010_0,158.0,327.0,275.0,2116.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31341173703464,-37.88541404516408]}"
00000000000000000011_0,1857.0,1988.0,1895.0,3368.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31484904148925,-37.96410646405295]}"
00000000000000000012_0,194.0,402.0,286.0,2468.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35985463722363,-37.82459810042919]}"
00000000000000000013_0,209.5,328.5,297.0,1676.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30883032908565,-37.936707847887305]}"
00000000000000000014_0,750.0,1062.0,1576.0,2678.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.39461943871905,-37.90095489957935]}"
00000000000000000015_0,426.0,600.0,833.0,1988.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.47672545568759,-37.81516578994594]}"
00000000000000000016_0,202.0,355.0,316.0,2297.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.30766251921628,-37.93607902718842]}"
00000000000000000017_0,173.0,262.0,180.0,2326.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3806955518152,-37.87975465887413]}"
00000000000000000018_0,612.0,903.0,1226.0,2552.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.42704862047577,-37.89718197538605]}"
00000000000000000019_0,39.0,57.0,50.0,897.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35635120761557,-37.83259310645785]}"
