system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,112.5,228.0,224.0,2103.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.2107525971872,-37.7081764396073]}"
00000000000000000001_0,246.5,350.0,431.5,1431.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.06773622967353,-37.752193888529156]}"
00000000000000000002_0,223.5,367.0,380.5,1869.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.7640158321127,-37.46527198678138]}"
00000000000000000003_0,103.0,203.0,129.5,1990.5,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.78549014168502,-37.241950807149266]}"
00000000000000000004_0,172.5,282.5,222.5,2055.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.55983791659605,-37.48476542844678]}"
00000000000000000005_0,191.5,293.0,245.5,1868.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.48617148901639,-37.390442323614224]}"
00000000000000000006_0,172.5,276.5,257.5,1704.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.48598725167773,-37.47407547656575]}"
00000000000000000007_0,260.0,434.0,395.0,2120.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.36615656705803,-37.26045610200213]}"
00000000000000000008_0,713.0,926.5,1221.0,2056.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.25197612016458,-37.95251819688781]}"
00000000000000000009_0,664.0,955.5,1316.0,2311.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.84163027266064,-37.77465177063215]}"
0000000000000000000a_0,187.0,288.5,332.0,1979.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.1131057258034,-37.33106368333392]}"
0000000000000000000b_0,169.0,246.0,210.0,1844.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.42454248624395,-37.24257962784815]}"
0000000000000000000c_0,124.0,196.0,191.0,1688.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.45032413489818,-37.25830014532024]}"
0000000000000000000d_0,187.0,293.0,312.0,1486.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.71487798607137,-37.06821663120055]}"
0000000000000000000e_0,108.0,199.0,176.0,1530.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.64418057321117,-36.78569647434496]}"
0000000000000000000f_0,169.0,280.0,259.0,1758.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.3102813563858,-37.45619900241177]}"
00000000000000000010_0,275.0,395.0,462.0,1782.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.1518185402671,-37.12732577689562]}"
00000000000000000011_0,217.0,297.5,264.5,1735.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.98158779392645,-37.49042481473673]}"
00000000000000000012_0,131.5,268.0,232.5,1902.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.23006637579576,-37.4571871492243]}"
00000000000000000013_0,291.0,555.0,500.0,2860.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.14400777157712,-37.29351410445773]}"
00000000000000000014_0,249.0,396.0,448.0,1348.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.38124826383122,-36.9100233096671]}"
00000000000000000015_0,255.0,356.0,422.0,1602.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.75126432936005,-37.07315736526321]}"
00000000000000000016_0,184.5,296.5,266.0,2093.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.94610434020373,-37.32073305756655]}"
00000000000000000017_0,300.0,350.0,274.0,1731.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.21047395403826,-37.38846602998916]}"
00000000000000000018_0,308.5,375.0,463.0,1590.5,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.07114525347131,-37.73701236022754]}"
00000000000000000019_0,187.0,397.0,296.0,2536.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71271745510762,-37.20251476617642]}"
0000000000000000001a_0,240.0,387.0,336.0,2374.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.83210355636712,-37.38145917077303]}"
0000000000000000001b_0,129.5,214.5,194.5,1973.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.57358214044308,-37.616997438269166]}"
0000000000000000001c_0,536.5,714.5,868.5,1893.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.58929350935145,-37.9336535759213]}"
0000000000000000001d_0,175.0,277.0,220.0,2012.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.33112227097737,-37.329446715822506]}"
0000000000000000001e_0,206.0,328.0,274.0,2101.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.17382726472803,-37.210509772205086]}"
0000000000000000001f_0,198.5,304.0,256.5,2104.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.47746240504227,-37.57432746227349]}"
00000000000000000020_0,178.0,261.5,262.5,1554.5,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.19332528067528,-37.624812781241005]}"
