system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,281.0,355.0,436.0,1518.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.82015596308833,-38.398711398509974]}"
00000000000000000001_0,605.0,905.0,1076.0,3178.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.77981703254952,-38.55977932895261]}"
00000000000000000002_0,526.0,832.0,1098.0,2796.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.84988562471082,-38.65850417867734]}"
00000000000000000003_0,54.0,82.0,40.0,1052.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.30613995751514,-38.56211494869132]}"
00000000000000000004_0,883.0,1152.0,1432.0,2508.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.78700812910432,-38.3620601349179]}"
00000000000000000005_0,229.0,340.0,351.0,1704.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.88869741926663,-38.623110556483034]}"
00000000000000000006_0,321.0,417.0,378.0,1646.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.835786649032,-38.359185526008716]}"
00000000000000000007_0,198.5,267.0,235.5,1560.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08165554229552,-38.224707727976025]}"
00000000000000000008_0,300.0,403.0,407.0,1602.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.93612846626814,-38.42646934078927]}"
00000000000000000009_0,822.0,819.0,893.0,1418.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.88124140240845,-38.15877138612165]}"
0000000000000000000a_0,115.0,237.0,118.0,1946.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.68037810487934,-38.248602914533606]}"
0000000000000000000b_0,801.0,1040.0,1346.0,2326.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6620524730833,-38.49851422657566]}"
0000000000000000000c_0,206.0,362.0,231.0,1986.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.46388412140652,-38.83250784921129]}"
0000000000000000000d_0,292.0,365.0,360.0,1832.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.77389272595616,-38.38047559824235]}"
0000000000000000000e_0,450.0,749.0,639.0,3530.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.11399031824197,-38.55196398598076]}"
0000000000000000000f_0,251.0,378.0,358.0,2062.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.55335632370483,-38.64664641692696]}"
00000000000000000010_0,648.0,902.0,1268.0,2578.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.11551745422497,-38.415420062794595]}"
00000000000000000011_0,702.0,914.0,1202.0,1880.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71361577039175,-38.49258534570047]}"
00000000000000000012_0,383.0,494.0,455.0,1808.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7823368896269,-38.455754419051566]}"
00000000000000000013_0,255.0,350.0,387.0,1452.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7906013902408,-38.50974316762715]}"
00000000000000000014_0,215.5,390.0,274.0,2732.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.36632708155113,-38.867003156121484]}"
00000000000000000015_0,33.0,192.0,106.0,1788.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.36381179875562,-38.994563926466455]}"
00000000000000000016_0,171.0,279.0,220.0,1932.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.41555475912088,-39.04612722377492]}"
00000000000000000017_0,1339.0,1668.0,2183.0,2842.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.08345217286376,-38.40077752366345]}"
00000000000000000018_0,741.5,1102.0,1617.0,3070.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.93055433722478,-38.817865310080144]}"
00000000000000000019_0,880.0,1116.0,1578.0,2370.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.67067629981085,-38.60002385368116]}"
0000000000000000001a_0,201.0,344.0,254.5,1870.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0062868899579,-38.26540141034664]}"
0000000000000000001b_0,1629.0,2797.0,3676.0,4026.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.34953316001997,-38.253274154011024]}"
0000000000000000001c_0,850.0,1028.0,1198.0,2326.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.64390650434407,-38.65158715098962]}"
0000000000000000001d_0,332.0,463.0,472.0,3088.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.74729801926438,-38.39646561029968]}"
0000000000000000001e_0,404.5,778.0,568.5,3880.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.79841673321263,-38.01701723428759]}"
0000000000000000001f_0,688.0,949.0,1234.0,2764.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.82284633465883,-38.61583420268166]}"
00000000000000000020_0,689.0,1042.0,1348.0,3234.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.95418002919712,-38.81085845086401]}"
00000000000000000021_0,314.0,431.0,431.0,1802.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.77748598709266,-38.507677042473674]}"
00000000000000000022_0,300.0,522.0,403.0,2554.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.7101123407837,-38.393501169862084]}"
00000000000000000023_0,525.0,788.0,1036.0,2376.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.22493225583074,-38.39916055615203]}"
00000000000000000024_0,724.0,1030.0,1328.0,3218.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.792573109584,-38.553940279605825]}"
00000000000000000025_0,816.0,1216.0,1688.0,2991.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.15342635921482,-38.41964214462996]}"
00000000000000000026_0,601.0,654.0,773.0,1054.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8303967573273,-38.21033468343011]}"
00000000000000000027_0,700.0,1030.0,1330.0,3076.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.36219483124418,-38.66227710287065]}"
00000000000000000028_0,243.0,409.0,339.0,2072.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.44088725013307,-39.04289328875208]}"
00000000000000000029_0,711.0,977.0,1308.0,2798.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.19501835686955,-38.79783287924428]}"
0000000000000000002a_0,567.0,847.0,963.0,3238.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.14102960829396,-38.71312174795181]}"
0000000000000000002b_0,987.0,1140.0,1312.0,1979.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.27191871947204,-38.201171867532096]}"
0000000000000000002c_0,865.0,1176.0,1690.0,2624.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.72637184742624,-38.395657126543966]}"
0000000000000000002d_0,282.5,407.5,569.0,1441.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.456612341887,-38.110711518421255]}"
0000000000000000002e_0,679.0,822.5,968.0,2313.0,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0237142064698,-38.36691103745215]}"
0000000000000000002f_0,432.0,533.0,522.0,2014.0,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6668135440891,-38.303849304506954]}"
00000000000000000030_0,736.5,1133.0,1397.0,3241.0,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9385493432534,-38.77348853504464]}"
00000000000000000031_0,133.0,296.0,176.0,2464.0,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39417485535884,-38.97489082174424]}"
00000000000000000032_0,932.5,1381.0,2021.0,3409.0,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.9511257572311,-38.748335707089296]}"
00000000000000000033_0,772.0,968.5,1281.0,2188.5,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.10833550623386,-38.16263414184336]}"
00000000000000000034_0,738.5,1065.0,1386.0,3049.0,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.91663045032092,-38.60424593551652]}"
00000000000000000035_0,681.0,990.0,1392.0,2620.0,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.05811510756973,-38.530314587633484]}"
00000000000000000036_0,612.0,857.0,999.0,2626.0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.99568219532344,-38.81031946169354]}"
00000000000000000037_0,918.5,1088.5,1356.0,2140.0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.24074717911307,-38.178713985429106]}"
00000000000000000038_0,1152.0,1292.0,1072.0,3830.0,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.88519398965857,-38.06265165072086]}"
00000000000000000039_0,633.0,620.0,490.0,1498.0,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.76526889922863,-38.19263787233296]}"
0000000000000000003a_0,1350.0,1482.0,1772.0,2514.0,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.97089326776359,-38.10613011047225]}"
0000000000000000003b_0,429.0,604.0,880.0,2188.0,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.15702419463315,-38.07918065194866]}"
0000000000000000003c_0,147.0,367.0,323.0,2664.0,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.76508466188994,-38.518187331297874]}"
0000000000000000003d_0,363.0,615.5,562.5,3346.0,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.86677395205228,-38.61843931700561]}"
0000000000000000003e_0,369.0,695.0,510.0,3638.0,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6493862275772,-38.55789286685596]}"
0000000000000000003f_0,264.0,380.0,334.0,1982.0,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8048846032583,-38.50659906413273]}"
00000000000000000040_0,694.0,1070.0,1088.0,3420.0,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.51922034290828,-38.62876994277298]}"
00000000000000000041_0,389.0,484.0,543.0,1718.0,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.8313849041398,-38.53588414239503]}"
00000000000000000042_0,1438.0,1647.0,1950.0,2606.0,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0302719080439,-38.273126921790066]}"
00000000000000000043_0,126.5,235.0,158.0,1768.0,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.02694814149265,-38.19102090482154]}"
00000000000000000044_0,251.0,341.0,324.0,1940.0,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.00170548200887,-38.520343287979756]}"
00000000000000000045_0,236.0,406.0,280.0,2576.0,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.39103075186443,-39.128053577686615]}"
00000000000000000046_0,655.5,803.0,670.0,2615.0,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.45813490358816,-38.882005021366275]}"
00000000000000000047_0,1158.0,1410.0,1588.0,2492.0,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.93523015098404,-38.04558366032259]}"
00000000000000000048_0,445.0,566.0,611.0,1749.0,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.16860788751643,-38.38766212051531]}"
00000000000000000049_0,663.0,954.0,1356.0,2700.0,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.02739272485286,-38.39412999056097]}"
0000000000000000004a_0,686.0,1009.0,1446.0,2866.0,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.10770211125313,-38.78103438343124]}"
0000000000000000004b_0,493.0,770.0,940.0,2696.0,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.18522672027265,-38.351280351508464]}"
0000000000000000004c_0,678.0,1090.0,1188.0,3000.0,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.25754110064426,-38.957643168289145]}"
0000000000000000004d_0,783.0,941.0,1310.0,2102.0,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.82958827357157,-38.56094713882196]}"
0000000000000000004e_0,774.0,1058.0,1422.0,2708.0,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.1276447105606,-38.4049097739704]}"
0000000000000000004f_0,588.0,828.0,1070.0,2702.0,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.37800518024468,-38.67682981047338]}"
00000000000000000050_0,129.0,350.0,154.0,2416.0,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.37710686496058,-39.03597626106436]}"
00000000000000000051_0,1228.0,1356.0,1542.0,2752.0,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.91995879115402,-38.117448883052155]}"
00000000000000000052_0,308.0,423.0,503.5,1491.0,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.52470464042327,-38.07980947264755]}"
00000000000000000053_0,739.0,1170.0,1490.0,3228.0,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.7271757569001,-38.37275008679892]}"
00000000000000000054_0,1452.0,1452.0,1192.0,4188.0,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.82276107741228,-38.05528546539108]}"
00000000000000000055_0,151.0,208.0,176.0,2256.0,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5133812935615,-38.444794972585306]}"
00000000000000000056_0,764.0,929.0,1134.0,2260.0,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.30596029445832,-38.56382174773115]}"
00000000000000000057_0,460.5,690.0,865.0,2286.0,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.94986811583334,-38.66524154330824]}"
00000000000000000058_0,656.5,698.0,665.5,2116.0,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.0606349646471,-38.22866031522615]}"
00000000000000000059_0,174.0,334.0,228.0,2496.0,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.32635205140784,-38.939766694135166]}"
0000000000000000005a_0,361.0,803.0,477.0,4416.0,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.97673231711036,-38.07055682522112]}"
0000000000000000005b_0,400.0,597.0,761.5,1842.0,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.46685313612596,-38.15275267371805]}"
0000000000000000005c_0,768.0,1076.0,1368.0,3342.0,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.08281877788303,-38.72003877563953]}"
0000000000000000005d_0,927.0,1184.0,1664.0,2522.0,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.99856137851447,-38.38640447911754]}"
0000000000000000005e_0,294.0,438.0,390.0,2014.0,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.87216841803885,-38.388201109685774]}"
0000000000000000005f_0,307.0,413.0,504.0,1484.0,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.76526889922863,-38.30205267393872]}"
00000000000000000060_0,530.0,828.0,745.0,3740.0,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.57374808065435,-38.65661771658069]}"
00000000000000000061_0,506.0,704.5,768.5,1777.0,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.4617327390065,-38.083582396840846]}"
00000000000000000062_0,277.0,490.0,364.0,2272.0,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.28197527637232,-38.95575670619249]}"
00000000000000000063_0,886.5,1300.0,1829.0,3182.0,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.90055060673518,-38.36161097727584]}"
00000000000000000064_0,641.0,1028.0,1130.0,3168.0,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.8151208232154,-38.37903829378776]}"
00000000000000000065_0,173.0,331.0,287.0,1942.0,101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.23463406089923,-38.88389148346293]}"
