system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,103.0,174.0,111.0,2214.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3844684760085,-37.8494814337993]}"
00000000000000000001_0,186.0,247.0,216.0,1960.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.36964627382054,-37.837264345935274]}"
00000000000000000002_0,250.0,358.0,360.0,2106.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.5077173329897,-37.893768377306394]}"
00000000000000000003_0,212.0,368.0,352.0,1936.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33811540734794,-37.81543528453117]}"
00000000000000000004_0,357.0,529.0,694.0,1636.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43585211026013,-37.86610026655551]}"
00000000000000000005_0,182.0,338.0,265.0,2030.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.50852581674542,-37.86610026655551]}"
00000000000000000006_0,283.0,448.0,439.0,2274.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33542046149557,-37.877329207607005]}"
00000000000000000007_0,624.0,818.0,742.0,2224.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33128821118862,-37.89915826901111]}"
00000000000000000008_0,208.0,320.0,199.0,2916.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35698002831444,-37.84939160227089]}"
00000000000000000009_0,768.0,1114.0,1334.0,2684.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.32176606917696,-37.91919069984697]}"
0000000000000000000a_0,296.0,429.0,517.0,1924.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.37180223050242,-37.93015014631323]}"
0000000000000000000b_0,159.0,269.0,222.0,1610.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40369242308867,-37.83690501982163]}"
0000000000000000000c_0,157.0,323.0,213.0,2280.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3933617973213,-37.859452733453026]}"
0000000000000000000d_0,1750.0,1910.0,1798.0,2730.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43001306091335,-37.817950567326704]}"
0000000000000000000e_0,462.0,666.0,914.0,3218.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40665686352625,-37.89278023049386]}"
0000000000000000000f_0,186.0,313.0,235.0,2386.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.40144663487837,-37.844630531265054]}"
00000000000000000010_0,373.0,685.0,803.0,2620.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3529376095359,-37.955033479683344]}"
00000000000000000011_0,540.0,781.0,851.0,2854.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3934516288497,-37.91505844954003]}"
00000000000000000012_0,351.0,522.0,631.0,2250.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.45094380703335,-37.864483299044096]}"
00000000000000000013_0,142.0,255.0,192.0,1936.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4731321945511,-37.832772769514676]}"
00000000000000000014_0,468.0,613.0,1284.0,1904.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.31691516664273,-37.90966855783531]}"
00000000000000000015_0,606.0,847.0,1138.0,2310.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.51265806705237,-37.87625122926606]}"
00000000000000000016_0,148.0,318.0,268.0,2402.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.50151895752927,-37.81300983326405]}"
00000000000000000017_0,365.0,573.0,652.0,2590.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4401640236239,-37.82648456252584]}"
00000000000000000018_0,220.0,322.0,279.0,2250.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3438646251663,-37.9253890753074]}"
00000000000000000019_0,329.0,480.0,592.0,1866.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3624597515476,-37.826754057111074]}"
0000000000000000001a_0,160.0,265.0,180.0,2040.0,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.38419898142328,-37.806991120860445]}"
0000000000000000001b_0,491.0,656.0,724.0,2652.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35635120761557,-37.926017896006286]}"
0000000000000000001c_0,153.0,289.0,269.0,2180.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3568003652576,-37.9208974988868]}"
0000000000000000001d_0,262.0,379.0,435.0,1986.0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3274254554669,-37.868525717822635]}"
0000000000000000001e_0,536.0,756.0,767.0,2642.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33200686341593,-37.80375718583762]}"
0000000000000000001f_0,238.0,385.0,378.0,2154.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.50663935464877,-37.86142902707809]}"
00000000000000000020_0,419.0,647.0,725.0,2122.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4249824953223,-37.8720291474307]}"
00000000000000000021_0,775.0,1160.0,1531.0,2805.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3204185962508,-37.94605032684215]}"
00000000000000000022_0,251.0,469.0,415.0,2652.0,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35563255538827,-37.788934983649646]}"
00000000000000000023_0,237.0,329.0,327.0,1394.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.35904615346792,-37.92493991766534]}"
00000000000000000024_0,667.0,916.0,1230.0,2520.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.48642726075607,-37.81211151797993]}"
00000000000000000025_0,552.0,824.0,977.0,2414.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.5061901970067,-37.87885634359001]}"
00000000000000000026_0,147.0,260.0,217.0,1744.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.34170866848442,-37.891163262982445]}"
00000000000000000027_0,273.0,387.0,440.0,2092.0,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.34036119555824,-37.850649243668656]}"
00000000000000000028_0,115.0,207.0,179.0,1962.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.43064188161225,-37.87679021843653]}"
00000000000000000029_0,391.0,580.0,526.0,2940.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3279644446374,-37.90975838936372]}"
0000000000000000002a_0,466.0,849.0,762.0,3316.0,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.33604928219447,-37.810135224354866]}"
0000000000000000002b_0,870.0,995.0,1070.0,2170.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.3378459127627,-37.80456566959332]}"
