system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,247.0,369.0,342.0,2216.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.98904381078464,-36.346240637353695]}"
00000000000000000001_0,786.0,1040.0,1427.0,2378.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.33021938141138,-36.33608967464314]}"
00000000000000000002_0,110.0,182.0,135.0,1415.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.76572263115253,-36.551056522132946]}"
00000000000000000003_0,171.0,274.5,248.0,1778.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.68595223392273,-36.31417078171063]}"
00000000000000000004_0,444.5,716.5,761.5,2946.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.205623051504,-36.50838654613727]}"
00000000000000000005_0,272.5,415.5,443.0,1969.5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.20750951360066,-36.475238712153256]}"
00000000000000000006_0,152.0,289.0,280.0,2244.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.94915861216975,-36.461135162192576]}"
00000000000000000007_0,216.0,304.0,293.0,1874.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.984103076722,-36.33564051700108]}"
00000000000000000008_0,824.0,1104.0,1450.0,2534.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.04446528953298,-36.256139614356506]}"
00000000000000000009_0,412.0,741.0,801.0,2792.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.948525217189,-36.18750832664978]}"
0000000000000000000a_0,187.0,330.0,263.0,2182.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.42472214930078,-36.61259111909513]}"
0000000000000000000b_0,315.0,435.0,510.0,1626.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.77541986193918,-36.26467360955564]}"
0000000000000000000c_0,773.0,1036.0,1520.0,2578.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.80102642181842,-36.09129875972057]}"
0000000000000000000d_0,703.0,961.0,1266.0,2840.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.97017918981814,-36.13989761659144]}"
0000000000000000000e_0,946.0,1227.0,1644.0,2624.5,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.27128989877315,-36.35594244242218]}"
0000000000000000000f_0,215.0,392.0,376.0,2692.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.86570512227505,-36.44388750873748]}"
00000000000000000010_0,114.0,201.0,185.0,1886.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.9111598756515,-36.414871925060424]}"
00000000000000000011_0,787.5,1064.0,1491.0,2641.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6854985019988,-36.10773792941996]}"
00000000000000000012_0,321.0,443.0,581.0,1516.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.30722251013793,-36.09570050461276]}"
00000000000000000013_0,602.0,889.0,1279.0,2069.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.3648943513784,-36.29243155183493]}"
00000000000000000014_0,137.0,232.5,197.0,2152.5,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.18263075451242,-36.67610200968238]}"
00000000000000000015_0,270.0,412.0,442.5,2009.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.97449110318192,-36.189843946388486]}"
00000000000000000016_0,679.0,1043.0,1316.0,3287.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.28045271467116,-36.452601166993446]}"
00000000000000000017_0,212.5,383.5,302.5,2135.0,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.24874218514174,-36.92313871281525]}"
00000000000000000018_0,849.5,1098.0,1540.0,2414.0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.5214661311186,-36.13576536628449]}"
00000000000000000019_0,98.0,242.0,222.0,1506.0,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.96765933274074,-36.588246774895495]}"
0000000000000000001a_0,226.5,376.0,368.5,1666.5,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.41807461619828,-36.36303913316673]}"
0000000000000000001b_0,497.5,716.5,944.0,2435.0,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.74514663686435,-36.09695814601053]}"
0000000000000000001c_0,133.0,287.0,264.0,2498.0,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.11480795056139,-36.51269845950104]}"
0000000000000000001d_0,257.0,386.5,394.5,1773.5,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.349982317662,-36.44352818262384]}"
0000000000000000001e_0,386.0,497.0,637.0,1592.0,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.52478989766982,-36.23673600421952]}"
0000000000000000001f_0,210.0,332.0,334.0,1665.0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.32851258237156,-36.60765038503247]}"
00000000000000000020_0,786.0,1046.0,1486.0,2252.0,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.91223327971056,-36.200983055911564]}"
00000000000000000021_0,1011.5,1326.0,1842.0,2599.0,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.76832317119462,-36.087076677885214]}"
00000000000000000022_0,175.5,267.0,239.0,1523.5,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.14274098161565,-36.41352445213425]}"
00000000000000000023_0,240.0,365.0,423.0,1764.0,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.49658737203032,-36.03470489682104]}"
00000000000000000024_0,805.0,1050.0,1400.0,2514.0,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.21083328015192,-36.188406641933895]}"
00000000000000000025_0,1004.0,1318.0,1858.0,2790.0,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71882599903964,-36.145197676767744]}"
00000000000000000026_0,1207.0,1636.0,2163.0,3004.0,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.54958339951153,-36.047281310798716]}"
00000000000000000027_0,674.0,930.5,1269.0,2240.5,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.9187955555665,-36.15283335668276]}"
00000000000000000028_0,916.0,1163.0,1547.0,2277.0,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.30308568554912,-36.107378603306316]}"
00000000000000000029_0,997.0,1380.0,1884.0,2855.0,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.31970451830534,-36.13441789335831]}"
0000000000000000002a_0,479.0,758.5,862.0,2723.5,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.23526745587995,-36.711675294933514]}"
0000000000000000002b_0,757.0,1036.0,1484.0,2636.0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.71136998218145,-36.35666109464948]}"
0000000000000000002c_0,335.0,432.0,542.0,1678.0,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.85375752899625,-36.12956699082407]}"
0000000000000000002d_0,786.0,1054.0,1488.0,2232.0,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.72466962266827,-36.00047908449609]}"
