system:index,B2,B3,B4,B8,id,.geo
00000000000000000000_0,686.5,1038.5,1288.0,3170.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.78429488612454,-36.93670327360545]}"
00000000000000000001_0,495.0,750.0,980.0,2554.0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.17344506720514,-37.05887415224571]}"
00000000000000000002_0,409.0,669.0,1176.0,1629.0,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.99369675313466,-37.354240217664206]}"
00000000000000000003_0,754.5,997.5,1361.0,2222.0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.83990060221154,-36.990961516766276]}"
00000000000000000004_0,1287.0,1679.0,2262.0,2947.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2310270769172,-37.73656320258548]}"
00000000000000000005_0,658.5,989.0,1493.0,2517.0,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.12781065077186,-36.31461993935269]}"
00000000000000000006_0,935.5,1329.0,1956.0,2574.0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.7749524071697,-36.282819578294855]}"
00000000000000000007_0,967.0,1276.0,1796.0,2642.0,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.18485367131345,-37.64924695696906]}"
00000000000000000008_0,1064.0,1474.0,1970.0,3176.0,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.89272611519962,-36.618699663027144]}"
00000000000000000009_0,1046.0,1512.0,2190.0,3184.0,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.01480716231148,-37.405983178029494]}"
0000000000000000000a_0,172.0,350.0,276.0,2358.0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.0773299060862,-37.45539051865607]}"
0000000000000000000b_0,280.5,453.0,478.0,2166.0,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.3234637196531,-37.40589334650108]}"
0000000000000000000c_0,490.0,622.0,825.0,1710.0,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.28537515160642,-36.93302018094057]}"
0000000000000000000d_0,1343.0,1800.0,2432.0,3234.0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.75321317729401,-36.86016681139847]}"
0000000000000000000e_0,1268.0,1662.0,2212.0,3110.0,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.6693151040391,-37.29234629458837]}"
0000000000000000000f_0,761.0,888.0,1204.0,1914.0,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.87888748554235,-37.214103033341566]}"
00000000000000000010_0,897.5,1192.0,1658.0,2574.0,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.79381702813623,-37.002459952403]}"
00000000000000000011_0,857.0,1126.0,1580.0,2818.0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.72959205960353,-37.32288901424844]}"
00000000000000000012_0,797.0,980.0,1324.0,1826.0,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.4497668486003,-36.8754381712285]}"
00000000000000000013_0,447.5,694.5,858.0,2352.0,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.2152167279167,-36.258475234095215]}"
00000000000000000014_0,744.0,1094.0,1794.0,2574.0,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.5401373661827,-36.53012577601296]}"
00000000000000000015_0,827.0,1108.0,1500.0,2386.0,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.4460837559354,-36.58743829113978]}"
00000000000000000016_0,353.0,478.0,580.0,1836.0,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.93359488634522,-37.22066073491563]}"
