system:index,B2,B3,B4,B8,class,.geo
1_00000000000000000116_5_0,571.5,914,1369,2182,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.3561578217132,-35.293864282007675]}"
1_00000000000000000019_6_0,990,1486,2308,3053,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.61514211812485,-35.33024605101451]}"
1_00000000000000000012_0_0,877,1278,1750,2512,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.63446961957897,-35.928973187880175]}"
1_0000000000000000001c_7_0,897,1186,1576,2338,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.7560877862032,-37.580525837733916]}"
1_0000000000000000009a_1_0,373.5,535.5,597.5,1675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.8293948876692,-37.696139014800096]}"
1_000000000000000000c8_1_0,1784,2066,2244,3996,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.17281624650624,-38.65904316784781]}"
1_000000000000000001c2_8_0,721,989,1421,2254,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.44993736309343,-37.66092505566261]}"
1_0000000000000000011c_0_0,250,360,381,1572,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.0065472359794,-37.221199724086105]}"
1_00000000000000000161_0_0,583.5,766,1009,1615,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.6155197413659,-36.153821503495294]}"
1_0000000000000000018d_2_0,1106,1639,1817,1655,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.19248020266477,-37.1558023714022]}"
1_000000000000000000e1_9_0,517,999.5,1380,1344,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.28376275837687,-36.827108808942874]}"
1_0000000000000000018d_8_0,1106,1639,1817,1655,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.19248020266477,-37.1558023714022]}"
1_00000000000000000051_8_0,1776.5,1769,1726,2753,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.83255271400918,-36.13271109431848]}"
1_000000000000000001e0_9_0,189,302,258,555,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.24432214312216,-37.51081657168624]}"
1_00000000000000000049_0_0,523.5,1004.5,1181,1547,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.9338689552123,-36.917928484167355]}"
1_000000000000000001e5_5_0,861,1101.5,1338,2815.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.23706408644819,-36.336179506171554]}"
1_000000000000000001c0_4_0,2361,2453,2373,3455,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.17992666009636,-38.84211982275137]}"
1_0000000000000000005f_5_0,1013,1288,1710,2496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.41437322640598,-37.812920001735634]}"
1_000000000000000001a6_9_0,597,866,869,1536,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.62852701585823,-37.603163382893726]}"
1_0000000000000000010e_7_0,388,703,855,1556,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.50035114765993,-37.87068167450452]}"
1_000000000000000000f9_0_0,537,658,819.5,1348,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.7400125168993,-37.456288833940185]}"
1_00000000000000000099_1_0,780,1104,1350,2088,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.205694585905,-37.92251446639822]}"
1_00000000000000000006_5_0,735,1170,1260,2678,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.1515353228363,-37.597144670490124]}"
1_000000000000000001f1_4_0,1441,1868,2325,2986,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.84430234710373,-36.137112839210666]}"
