system:index,AreaM2,B11,B12,B2,B3,B4,B8,class,FEATURETYP,.geo
0000000000000000033b_0,n/a,3989,2563.5,568.5,812.5,1329,2523,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.17649019060744,-36.221554475917905]}"
0000000000000000033c_0,n/a,1823,1050,317,480,528,2278,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.7872821979714,-37.463475356213145]}"
0000000000000000033d_0,n/a,4630.5,4120,1092,1569,2263,2993,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.03824861694514,-35.50883112949747]}"
0000000000000000033e_0,n/a,1163,607,145,223,222,1559,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.42454248624395,-36.84525477768209]}"
0000000000000000033f_0,n/a,4516,3601,923,1302,1780,2944,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.69080313645696,-37.16748047009576]}"
00000000000000000341_0,n/a,2948,2290,1977.5,2248,2042.5,5234,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.30171991549554,-37.70548149375494]}"
00000000000000000343_0,n/a,3115,2356,391,589,936,2084,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.82480433115649,-34.70268299352862]}"
00000000000000000345_0,n/a,3961,3270,764.5,1030,1501,2207,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.16023983252856,-35.642230949189226]}"
00000000000000000347_0,n/a,3620,3217,970,1546,2394,3624,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.05459338083426,-34.96777583387229]}"
00000000000000000348_0,n/a,1287.5,632.5,276,360,319.5,2122.5,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.94260548487753,-37.46958390014515]}"
00000000000000000349_0,n/a,3775,2928,611,1194,1858,4144,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.66311215429684,-34.80455194674777]}"
0000000000000000034a_0,n/a,3725,3027,497.5,723,1076,1894,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.36881949293743,-35.23798907133544]}"
0000000000000000034b_0,n/a,1999.5,1302.5,552,856,942,3601,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.8800552954117,-37.575046114500786]}"
0000000000000000034c_0,n/a,1576,851,278,377,428,1924,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.46568532625662,-37.72290881026686]}"
0000000000000000034d_0,n/a,2318.5,1780,390.5,544,651,1528,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.18556317497703,-35.929961334692706]}"
0000000000000000034f_0,n/a,3240,2609,606,968,1582,2498,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.3337897711386,-34.67052330635714]}"
00000000000000000350_0,n/a,3288.5,1933,642.5,1059,1092,3836,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.47134928682843,-37.753092203813274]}"
00000000000000000351_0,n/a,4208,4014,1007,1244,1673,2321,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.1958131177797,-35.63252914412073]}"
00000000000000000352_0,n/a,5099.5,4357.5,1082,1725,2750,3764,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.44670342807058,-35.16908828904347]}"
00000000000000000353_0,n/a,2979,2111,468,640,899,2074,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.44251336620817,-36.939577882514634]}"
00000000000000000354_0,n/a,3088,2560.5,636,949.5,1291,2242,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.07021949249608,-34.691364220948714]}"
00000000000000000355_0,n/a,4531,3716,1064,1618,2430,3160,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.85696859260983,-35.11249442614394]}"
00000000000000000356_0,n/a,3157.5,2670.5,769.5,1081,1432,2338,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.092228216957,-34.82161993714604]}"
00000000000000000357_0,n/a,2988,2376,513,760,1120,1992,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.05225318681372,-34.638453450714074]}"
00000000000000000358_0,n/a,1101.5,658,236,323,338,1568,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[142.53555138395186,-37.35477920683468]}"
00000000000000000359_0,n/a,2269,1419,550,842,1390,2744,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[140.98425071980586,-36.32513022817688]}"
0000000000000000035c_0,n/a,3542,2963,571,858,1230,2114,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.48856492031055,-35.143396471917654]}"
0000000000000000035f_0,n/a,3950,2757,878.5,1083,1462,2457,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.11450643600318,-36.11600243003386]}"
00000000000000000360_0,n/a,1732,1016,374,436,417,1780,0,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.25431631418513,-37.51387084365225]}"
